file,offset,valid_instructions_count,arch
1.exe,208437,4010,32
1.exe,234027,17568,32
1.exe,189882,3904,32
1.exe,320394,10,32
1.exe,45963,3192,32
1.exe,567076,2792,32
1.exe,400357,3,32
1.exe,310558,25,32
1.exe,54131,1951,32
1.exe,444225,4814,32
1.exe,419690,39,32
1.exe,241560,14513,32
1.exe,334592,23,32
1.exe,104055,43017,32
1.exe,461767,3181,32
1.exe,78575,662,32
1.exe,143709,5764,32
1.exe,119019,28382,32
1.exe,307270,19,32
1.exe,353782,77,32
1.exe,252369,9234,32
1.exe,320083,49,32
1.exe,506094,418,32
1.exe,554931,9338,32
1.exe,408871,32,32
1.exe,549789,14387,32
1.exe,454557,1910,32
1.exe,528138,35770,32
1.exe,86700,3930,32
1.exe,327926,9,32
1.exe,139493,8176,32
1.exe,306259,14,32
1.exe,139010,8651,32
1.exe,341215,59,32
1.exe,366252,294,32
1.exe,339496,10,32
1.exe,175750,10636,32
1.exe,371271,19,32
1.exe,563188,4736,32
1.exe,507844,55517,32
1.exe,125492,21975,32
1.exe,517660,45977,32
1.exe,221639,262,32
1.exe,273008,5049,32
1.exe,556881,7889,32
1.exe,265532,847,32
1.exe,147080,4079,32
1.exe,33753,1674,32
1.exe,161409,18489,32
1.exe,526696,37171,32
1.exe,374677,30,32
1.exe,1274,1234,32
1.exe,185169,6039,32
1.exe,156193,802,32
1.exe,432649,24,32
1.exe,381881,6,32
1.exe,217352,945,32
1.exe,490988,1937,32
1.exe,283390,23,32
1.exe,305531,16,32
1.exe,216914,1091,32
1.exe,301109,23,32
1.exe,74457,2627,32
1.exe,260426,4474,32
1.exe,163662,17186,32
1.exe,137179,10452,32
1.exe,274804,4151,32
1.exe,325248,29,32
1.exe,206221,4733,32
1.exe,296473,23,32
1.exe,435358,151,32
1.exe,213396,2269,32
1.exe,90209,506,32
1.exe,375603,1,32
1.exe,261181,3966,32
1.exe,154624,307,32
1.exe,426316,81,32
1.exe,215684,1475,32
1.exe,512289,51194,32
1.exe,561741,5459,32
1.exe,475295,2808,32
1.exe,334288,12,32
1.exe,174743,11191,32
1.exe,521,1582,32
1.exe,211472,2963,32
1.exe,170598,13433,32
1.exe,281308,899,32
1.exe,370123,1,32
1.exe,43492,5259,32
1.exe,435832,193,32
